startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
1,9,False,False,30,232,1650231900,1650264360,27060,0,2690,122,315.35,362.6
12,5,False,False,37,240,1650228600,1650293400,29940,1,3043,233,566.51,642.7
10,4,False,False,30,155,1650213300,1650235440,20160,0,1863,234,226.98,267.6
5,9,False,False,30,145,1650213660,1650257100,29460,0,3170,130,400.0,453.6
14,4,False,False,30,4,1650189600,1650214740,15660,0,1392,162,262.33,305.61
13,2,False,False,30,138,1650216600,1650236820,16020,0,1265,162,200.0,238.6
9,14,False,True,4,164,1650213480,1650232080,18600,0,2397,118,399.07,443.6
7,12,False,False,32,78,1650216420,1650265020,27240,0,2465,190,469.77,533.1
13,4,False,False,7,262,1650207060,1650221400,11820,0,822,332,213.95,253.6
13,4,False,True,4,164,1650210300,1650219420,9120,0,799,332,213.95,244.6
5,0,False,False,30,111,1650198300,1650226620,10140,0,675,237,568.37,640.2
8,9,False,True,4,164,1650195000,1650217800,22800,0,2458,78,487.44,538.6
0,10,False,True,23,164,1650213000,1650220980,7980,0,762,170,171.16,198.6
5,4,False,False,21,114,1650192600,1650233100,21000,0,1865,260,374.88,432.2
13,15,False,False,30,155,1650234720,1650263340,20940,0,1927,121,313.49,360.6
15,8,False,True,20,164,1650229800,1650250560,20760,0,2566,104,488.63,539.88
4,9,False,True,4,164,1650229200,1650241200,12000,0,1238,156,262.33,296.61
15,11,False,False,16,12,1650245400,1650310560,26820,1,2904,292,518.14,590.7
13,11,False,False,7,218,1650225900,1650246600,14520,0,1192,334,171.16,207.6
14,6,False,False,7,167,1650194880,1650214980,16080,0,1392,54,328.38,376.61
6,14,False,False,30,72,1650241800,1650255780,12180,1,932,86,798.14,881.6
13,4,False,False,30,155,1650234720,1650257280,14460,0,1195,121,213.95,253.6
15,10,False,False,30,72,1650224760,1650254100,22740,0,2568,243,318.14,365.6
5,9,False,False,57,172,1650209880,1650253800,25920,0,2220,323,2237.21,2433.1
11,1,False,True,20,164,1650243900,1650255960,12060,1,1260,331,138.6,163.6
9,10,False,False,56,167,1650203100,1650229680,22620,0,2465,346,322.79,370.6
3,6,False,False,56,25,1650259200,1650281340,19200,1,1948,352,440.0,496.6
14,11,False,False,39,145,1650227580,1650248340,13620,0,1096,389,530.61,594.01
0,10,False,False,7,68,1650197100,1650225600,21540,0,2105,336,171.16,207.6
12,4,False,False,37,125,1650220800,1650256500,20400,0,1836,237,529.3,597.1
6,11,False,False,7,167,1650217560,1650243120,20220,0,1912,154,217.67,257.6
9,3,False,False,7,192,1650222000,1650239700,10200,0,937,330,213.95,253.6
14,9,False,False,30,155,1650190800,1650221400,24720,0,2512,232,322.79,370.6
3,6,False,True,46,164,1650238740,1650251940,13200,0,1621,91,366.51,408.6
9,13,False,False,56,63,1650219240,1650240540,17340,0,1751,247,322.79,370.6
8,9,False,True,4,164,1650242700,1650265500,22800,1,2458,114,364.65,406.6
12,1,False,False,19,224,1650202200,1650246480,31260,0,3257,363,542.32,611.09
4,14,False,True,4,164,1650220800,1650232140,11340,0,1298,77,515.35,568.6
2,0,False,True,4,164,1650210300,1650215640,5340,0,228,178,357.21,397.1
9,8,False,False,7,167,1650209400,1650245400,22980,0,2465,178,327.44,375.6
4,9,False,False,39,117,1650233520,1650256380,14640,0,1270,389,530.61,594.01
9,0,False,False,30,103,1650208800,1650236400,18180,0,2074,232,437.21,493.6
