startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
ATL,DTW,FALSE,FALSE,UA||UA,ORD,1650207780,1650233460,12420,0,840,QAA0OFEN,255.81,298.6
ATL,DTW,FALSE,FALSE,B6||B6,JFK,1650235800,1650254280,16260,0,1247,RH0AUEL1,269.78,313.61
ATL,DTW,FALSE,FALSE,AA||AA,CLT,1650233700,1650247260,11280,0,733,L0AIZNN1,273.49,316.1
ATL,DTW,FALSE,FALSE,AA||AA,CLT,1650226680,1650240600,10680,0,733,L0AIZNN1,273.49,316.1
ATL,DTW,FALSE,FALSE,AA||AA,CLT,1650207720,1650222420,11580,0,733,L0AIZNN1,273.49,316.1
ATL,DTW,FALSE,FALSE,UA||UA,ORD,1650207780,1650229860,12420,0,840,UAA0OFEN,348.84,398.6
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650250740,1650285840,14940,1,1402,UA0NX0MC,373.02,430.2
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650247140,1650285840,14820,1,1402,UA0NX0MC,373.02,430.2
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650243540,1650285840,14760,1,1402,UA0NX0MC,373.02,430.2
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650250740,1650294060,14760,1,1402,UA0NX0MC,373.02,430.2
ATL,DTW,FALSE,FALSE,DL||UA,ORD,1650224580,1650241020,12780,0,840,KA0OX0MQ,379.54,431.61
ATL,DTW,FALSE,FALSE,DL||UA,ORD,1650215700,1650233460,12660,0,840,KA0OX0MQ,379.54,431.61
ATL,DTW,FALSE,FALSE,DL||UA,ORD,1650194400,1650214560,12060,0,840,KA0OX0MQ,379.54,431.61
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650225600,1650256380,14880,1,1358,LA0NX0MC,382.32,440.19
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650246300,1650285600,14940,1,1358,LA0NX0MC,382.32,440.19
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650212700,1650256380,14880,1,1358,LA0NX0MC,382.32,440.19
ATL,DTW,FALSE,FALSE,DL||DL,EWR,1650201180,1650237600,13860,0,1247,KA0NX0MQ,393.48,452.19
ATL,DTW,FALSE,FALSE,DL||DL,LGA,1650227400,1650247620,15960,0,1247,KA0NX0MQ,431.62,487.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650212700,1650229800,15000,0,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650239100,1650256380,15000,1,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650197400,1650218160,14940,0,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650233700,1650256380,15060,1,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650194100,1650218160,14880,0,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650229200,1650256380,15000,1,1358,KA0QA0MQ,435.34,491.59
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650249900,1650285600,14760,1,1358,KA0QA0MQ,435.34,497.19
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650217500,1650256380,15060,1,1358,KA0QA0MQ,435.34,497.19
ATL,DTW,FALSE,TRUE,DL,NONE,1650249780,1650256440,6660,1,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650223380,1650230100,6720,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650194100,1650200820,6720,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650232500,1650239280,6780,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650239100,1650245880,6780,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650217200,1650224040,6840,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650200880,1650207720,6840,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,TRUE,DL,NONE,1650207600,1650214500,6900,0,604,MA0QA0MQ,450.23,498.6
ATL,DTW,FALSE,FALSE,DL||DL,CLE,1650251400,1650276540,9420,1,649,LA0NX0MC,439.07,501.2
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650198000,1650241560,15120,0,1402,UA0NX0MC,447.44,510.2
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650198000,1650219000,14820,0,1402,KA0OX0MC,453.95,511.6
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650194100,1650219000,14640,0,1402,KA0OX0MC,453.95,511.6
ATL,DTW,FALSE,FALSE,DL||DL,TPA,1650198000,1650224820,15240,0,1402,KA0OX0MC,453.95,511.6
ATL,DTW,FALSE,FALSE,DL||DL,MCO,1650201300,1650229800,15060,0,1358,QA0OX0MC,463.25,521.59
ATL,DTW,FALSE,FALSE,DL||DL,EWR,1650250500,1650282000,13440,1,1247,KA0NX0MC,486.51,552.2
ATL,DTW,FALSE,FALSE,DL||DL,EWR,1650243240,1650282000,13620,1,1247,KA0NX0MC,486.51,552.2
ATL,DTW,FALSE,FALSE,DL||DL,MYR,1650198480,1650217560,11220,0,963,KA0NA0MC,512.56,574.6
ATL,DTW,FALSE,FALSE,DL||DL,CLE,1650243240,1650276540,9300,1,649,QA0OX0MC,509.77,577.2
ATL,DTW,FALSE,FALSE,DL||DL,PBI,1650200100,1650229440,17100,0,1640,KA0QA0MQ,528.38,591.61
ATL,DTW,FALSE,FALSE,DL||DL,PIT,1650252000,1650281700,9960,1,726,UA0NX0MC,532.09,601.2
ATL,DTW,FALSE,FALSE,DL||DL,PWM,1650243360,1650282900,17340,1,1685,QA0UA0MC,551.62,622.19
ATL,DTW,FALSE,FALSE,DL||DL,SRQ,1650204780,1650228540,15780,0,1477,KA0OA0MC,565.58,631.6
ATL,DTW,FALSE,FALSE,DL||DL,SRQ,1650200100,1650228540,15480,0,1477,KA0OA0MC,565.58,631.6
ATL,DTW,FALSE,FALSE,DL||DL,IND,1650251400,1650280740,9720,1,675,QA0NA0MC,568.37,640.2
ATL,DTW,FALSE,FALSE,DL||DL,JAX,1650204600,1650220200,12480,0,1102,KA0NA0MC,582.33,649.61
ATL,DTW,FALSE,FALSE,DL||DL,PIT,1650194100,1650208680,9600,0,726,KA0OX0MC,602.79,671.6
ATL,DTW,FALSE,FALSE,DL||DL,MCI,1650228960,1650246360,14220,0,1331,KA0NA0MC,669.76,743.59
ATL,DTW,FALSE,FALSE,DL||DL,CHA,1650197400,1650228720,9540,0,622,QA0QA0MQ,667.91,747.2
